atr_length,atr_multiplier,bb_length,bb_std,ema_trend,macd_fast,macd_signal,macd_slow,rsi_period,stoch_d,stoch_k,stoch_overbought,stoch_oversold,stoch_smooth,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
14,2.5,20,2,200,12,9,26,14,3,14,70,20,3,10000,6601.42,-3398.58,-33.99,-34.06,-0.14,-0.03,-0.83,40.8,2002,0.0,0.0,-1.7,0.0,-138.91,0.00075,0.0005,40.51,-74.5
14,2.5,20,2,200,12,9,26,14,3,14,75,20,3,10000,6441.67,-3558.33,-35.58,-35.66,-0.15,-0.03,-0.84,42.21,1897,0.0,0.0,-1.88,0.0,-166.65,0.00075,0.0005,40.53,-76.11
14,1.5,20,2,200,12,9,26,14,3,14,70,20,3,10000,6649.74,-3350.26,-33.5,-33.58,-0.16,-0.05,-0.84,39.9,2002,0.0,0.0,-1.67,0.0,-86.25,0.00075,0.0005,42.42,-75.92
14,2.0,20,2,200,12,9,26,14,3,14,70,20,3,10000,6237.51,-3762.49,-37.62,-37.71,-0.17,-0.04,-0.85,44.32,2002,0.0,0.0,-1.88,0.0,-105.79,0.00075,0.0005,41.28,-78.9
14,1.5,20,2,200,12,9,26,14,3,14,75,20,3,10000,6532.03,-3467.97,-34.68,-34.76,-0.17,-0.06,-0.84,41.21,1897,0.0,0.0,-1.83,0.0,-86.73,0.00075,0.0005,42.17,-76.85
14,2.5,20,2,200,12,9,26,14,3,14,70,30,3,10000,5513.59,-4486.41,-44.86,-44.95,-0.18,-0.04,-0.91,49.52,2200,0.0,0.0,-2.04,0.0,-133.57,0.00075,0.0005,40.78,-85.64
14,2.5,20,2,200,12,9,26,14,3,14,80,20,3,10000,6002.39,-3997.61,-39.98,-40.06,-0.18,-0.04,-0.88,45.41,1790,0.0,0.0,-2.23,0.0,-153.51,0.00075,0.0005,40.21,-80.19
14,1.5,20,2,200,12,9,26,14,3,14,70,30,3,10000,5851.1,-4148.9,-41.49,-41.58,-0.18,-0.06,-0.91,45.91,2200,0.0,0.0,-1.89,0.0,-84.58,0.00075,0.0005,42.35,-83.84
14,1.5,20,2,200,12,9,26,14,3,14,80,20,3,10000,6187.12,-3812.88,-38.13,-38.13,-0.19,-0.07,-0.84,45.61,1790,0.0,0.0,-2.13,0.0,-82.47,0.00075,0.0005,42.08,-80.21
14,2.0,20,2,200,12,9,26,14,3,14,70,30,3,10000,5563.87,-4436.13,-44.36,-44.45,-0.19,-0.05,-0.92,48.51,2200,0.0,0.0,-2.02,0.0,-111.86,0.00075,0.0005,41.02,-85.38
14,2.5,20,2,200,12,9,26,14,3,14,75,25,3,10000,5329.23,-4670.77,-46.71,-46.8,-0.19,-0.04,-0.88,53.0,2010,0.0,0.0,-2.32,0.0,-167.8,0.00075,0.0005,40.42,-87.13
14,2.5,20,2,200,12,9,26,14,3,14,70,25,3,10000,5533.29,-4466.71,-44.67,-44.76,-0.19,-0.04,-0.89,50.29,2115,0.0,0.0,-2.11,0.0,-123.76,0.00075,0.0005,40.78,-85.45
14,1.5,20,2,200,12,9,26,14,3,14,75,30,3,10000,5610.05,-4389.95,-43.9,-43.99,-0.2,-0.07,-0.88,50.03,2095,0.0,0.0,-2.1,0.0,-86.82,0.00075,0.0005,42.3,-86.2
14,2.0,20,2,200,12,9,26,14,3,14,75,20,3,10000,5873.59,-4126.41,-41.26,-41.35,-0.2,-0.05,-0.88,46.97,1897,0.0,0.0,-2.18,0.0,-121.34,0.00075,0.0005,41.08,-82.34
14,2.0,20,2,200,12,9,26,14,3,14,75,30,3,10000,5313.51,-4686.49,-46.86,-46.96,-0.2,-0.05,-0.9,52.46,2095,0.0,0.0,-2.24,0.0,-114.06,0.00075,0.0005,40.75,-87.61
14,2.5,20,2,200,12,9,26,14,3,14,75,30,3,10000,5153.63,-4846.37,-48.46,-48.56,-0.2,-0.05,-0.9,54.19,2095,0.0,0.0,-2.31,0.0,-136.3,0.00075,0.0005,40.61,-89.07
14,1.5,20,2,200,12,9,26,14,3,14,80,30,3,10000,5411.83,-4588.17,-45.88,-45.97,-0.21,-0.07,-0.85,54.07,1988,0.0,0.0,-2.31,0.0,-87.44,0.00075,0.0005,41.19,-87.07
14,1.5,20,2,200,12,9,26,14,3,14,70,25,3,10000,5606.71,-4393.29,-43.93,-44.02,-0.21,-0.07,-0.92,47.96,2115,0.0,0.0,-2.08,0.0,-84.46,0.00075,0.0005,42.37,-86.3
14,1.5,20,2,200,12,9,26,14,3,14,75,25,3,10000,5576.85,-4423.15,-44.23,-44.32,-0.21,-0.07,-0.9,49.1,2010,0.0,0.0,-2.2,0.0,-86.29,0.00075,0.0005,42.23,-86.46
14,2.5,20,2,200,12,9,26,14,3,14,80,25,3,10000,4883.67,-5116.33,-51.16,-51.26,-0.22,-0.05,-0.89,57.77,1903,0.0,0.0,-2.69,0.0,-154.19,0.00075,0.0005,39.98,-91.14
14,2.0,20,2,200,12,9,26,14,3,14,75,25,3,10000,5096.82,-4903.18,-49.03,-49.13,-0.22,-0.06,-0.9,54.43,2010,0.0,0.0,-2.44,0.0,-132.84,0.00075,0.0005,40.84,-89.87
14,2.0,20,2,200,12,9,26,14,3,14,80,30,3,10000,5031.41,-4968.59,-49.69,-49.78,-0.22,-0.06,-0.88,56.85,1988,0.0,0.0,-2.5,0.0,-115.38,0.00075,0.0005,40.4,-90.09
14,2.0,20,2,200,12,9,26,14,3,14,70,25,3,10000,5195.69,-4804.31,-48.04,-48.14,-0.22,-0.06,-0.91,52.84,2115,0.0,0.0,-2.27,0.0,-113.95,0.00075,0.0005,41.3,-89.34
14,2.0,20,2,200,12,9,26,14,3,14,80,20,3,10000,5413.63,-4586.37,-45.86,-45.95,-0.23,-0.06,-0.9,51.19,1790,0.0,0.0,-2.56,0.0,-114.07,0.00075,0.0005,40.74,-86.6
14,1.5,20,2,200,12,9,26,14,3,14,80,25,3,10000,5256.81,-4743.19,-47.43,-47.52,-0.23,-0.08,-0.91,52.23,1903,0.0,0.0,-2.49,0.0,-86.89,0.00075,0.0005,41.13,-88.56
14,2.5,20,2,200,12,9,26,14,3,14,80,30,3,10000,4760.94,-5239.06,-52.39,-52.49,-0.23,-0.05,-0.89,58.87,1988,0.0,0.0,-2.64,0.0,-136.17,0.00075,0.0005,40.02,-92.41
14,2.0,20,2,200,12,9,26,14,3,14,80,25,3,10000,4618.37,-5381.63,-53.82,-53.91,-0.26,-0.07,-0.93,58.2,1903,0.0,0.0,-2.83,0.0,-123.89,0.00075,0.0005,40.61,-94.43
