ema_gatillo_periodo,ema_filtro_periodo,sl_multiplier,tp_multiplier,profit_factor,num_trades,win_rate_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,final_value,annual_return_pct,sortino_ratio,calmar_ratio
21,100,3.0,4.0,0.81,2826,35.63,-94.94,-0.26,95.64,506.13,-94.98,-0.08,-0.99
21,150,3.0,4.0,0.8,2526,37.49,-94.02,-0.24,94.83,598.38,-94.06,-0.07,-0.99
21,200,3.0,4.0,0.79,2403,38.41,-94.02,-0.24,95.02,597.73,-94.07,-0.07,-0.99
21,150,3.0,3.0,0.78,2976,44.72,-96.37,-0.3,96.85,362.54,-96.41,-0.08,-1.0
21,100,2.0,4.0,0.78,3320,31.39,-96.79,-0.32,97.19,321.14,-96.82,-0.13,-1.0
21,150,2.0,4.0,0.78,3078,32.07,-96.27,-0.3,96.72,373.07,-96.3,-0.12,-1.0
21,200,3.0,3.0,0.77,2847,45.87,-96.47,-0.3,97.01,352.71,-96.51,-0.08,-0.99
21,100,3.0,3.0,0.77,3265,42.36,-97.2,-0.33,97.53,279.84,-97.23,-0.1,-1.0
21,200,2.0,4.0,0.76,2970,32.32,-96.51,-0.31,97.01,348.61,-96.55,-0.13,-1.0
50,150,3.0,4.0,0.75,1996,37.22,-91.28,-0.25,92.31,871.63,-91.34,-0.07,-0.99
50,100,3.0,4.0,0.75,2265,34.22,-91.4,-0.27,92.39,860.04,-91.46,-0.08,-0.99
21,100,2.0,3.0,0.75,3853,37.71,-98.38,-0.41,98.53,161.73,-98.4,-0.17,-1.0
21,150,2.0,3.0,0.75,3627,38.88,-98.03,-0.39,98.24,196.94,-98.05,-0.15,-1.0
21,200,2.0,3.0,0.74,3534,39.45,-98.06,-0.39,98.29,194.43,-98.08,-0.15,-1.0
50,100,2.0,4.0,0.74,2556,30.28,-93.56,-0.31,94.18,644.42,-93.6,-0.11,-0.99
50,150,2.0,4.0,0.74,2345,31.6,-93.61,-0.31,94.28,638.9,-93.66,-0.11,-0.99
50,200,3.0,4.0,0.73,1864,38.25,-91.7,-0.26,92.83,829.98,-91.76,-0.07,-0.99
50,200,2.0,4.0,0.72,2250,31.73,-94.34,-0.32,94.94,565.87,-94.39,-0.11,-0.99
50,150,3.0,3.0,0.72,2247,43.61,-94.59,-0.33,95.12,540.87,-94.63,-0.09,-0.99
50,100,3.0,3.0,0.71,2508,40.43,-94.49,-0.34,95.03,550.62,-94.54,-0.1,-0.99
21,150,3.0,2.0,0.71,3767,54.63,-99.14,-0.47,99.21,85.95,-99.15,-0.12,-1.0
50,200,3.0,3.0,0.7,2118,44.43,-95.25,-0.34,95.75,474.53,-95.29,-0.09,-1.0
21,200,3.0,2.0,0.7,3645,55.67,-99.09,-0.46,99.18,91.19,-99.1,-0.12,-1.0
21,100,3.0,2.0,0.7,4033,52.17,-99.3,-0.5,99.35,70.06,-99.31,-0.14,-1.0
50,150,2.0,3.0,0.69,2626,37.47,-96.56,-0.41,96.85,343.96,-96.59,-0.14,-1.0
50,100,2.0,3.0,0.69,2816,35.65,-96.47,-0.42,96.75,352.99,-96.5,-0.14,-1.0
50,200,2.0,3.0,0.68,2540,37.83,-96.76,-0.42,97.07,323.61,-96.79,-0.13,-1.0
21,150,2.0,2.0,0.67,4504,48.07,-99.57,-0.6,99.6,42.85,-99.58,-0.22,-1.0
50,100,3.0,2.0,0.67,3018,50.17,-97.36,-0.48,97.51,264.09,-97.39,-0.12,-1.0
21,200,2.0,2.0,0.67,4415,48.54,-99.57,-0.6,99.6,43.22,-99.57,-0.22,-1.0
21,100,2.0,2.0,0.66,4706,46.56,-99.68,-0.64,99.7,31.94,-99.69,-0.24,-1.0
50,150,3.0,2.0,0.66,2787,53.61,-97.47,-0.46,97.61,253.01,-97.5,-0.12,-1.0
50,200,3.0,2.0,0.65,2693,54.81,-97.63,-0.46,97.76,237.48,-97.65,-0.12,-1.0
50,100,2.0,2.0,0.65,3358,44.91,-98.39,-0.57,98.45,161.23,-98.41,-0.17,-1.0
50,200,2.0,2.0,0.64,3128,47.54,-98.47,-0.56,98.54,153.42,-98.48,-0.17,-1.0
50,150,2.0,2.0,0.64,3200,46.94,-98.45,-0.57,98.53,154.67,-98.47,-0.17,-1.0
