ema_filter_periodo,stoch_k,stoch_d,stoch_smooth,sl_multiplier,tp_multiplier,profit_factor,num_trades,win_rate_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,final_value,annual_return_pct
150,14,3,3,2.0,2.0,0.71,1497,51.3,-78.5,-0.3,79.11,2149.52,-78.6
150,14,3,3,2.0,3.0,0.75,1401,41.33,-75.64,-0.23,77.54,2435.71,-75.74
150,14,3,3,2.0,4.0,0.79,1315,34.14,-75.72,-0.21,78.47,2428.28,-75.81
150,14,3,3,3.0,2.0,0.75,1344,61.46,-75.46,-0.24,78.02,2454.36,-75.55
150,14,3,3,3.0,3.0,0.79,1237,50.77,-73.98,-0.19,78.2,2601.76,-74.08
150,14,3,3,3.0,4.0,0.79,1130,43.01,-76.24,-0.18,79.66,2376.4,-76.33
200,14,3,3,2.0,2.0,0.7,1666,50.78,-83.05,-0.34,83.66,1695.05,-83.13
200,14,3,3,2.0,3.0,0.73,1536,40.49,-81.97,-0.27,83.74,1802.61,-82.06
200,14,3,3,2.0,4.0,0.78,1432,33.59,-79.58,-0.22,82.16,2041.79,-79.67
200,14,3,3,3.0,2.0,0.74,1472,61.48,-78.81,-0.25,81.36,2119.17,-78.9
200,14,3,3,3.0,3.0,0.78,1331,50.49,-77.62,-0.21,81.57,2237.73,-77.71
200,14,3,3,3.0,4.0,0.8,1211,43.1,-76.53,-0.18,80.39,2347.17,-76.62
