feature,importance
EMA_200,0.3725775992058579
price_to_ema200_pct,0.18007585633540227
atr_pct,0.12431572306992758
ATRr_14,0.06944796440653128
ema_distance_ratio,0.05488516821994116
MACDh_12_26_9,0.04628259885273046
volume_norm,0.03382157004555925
RSI_14,0.03298980761291176
STOCHk_14_3_3,0.017387810618358087
ema_21_50_cross,0.014244244424115517
rsi_zscore,0.012316432191764091
rsi_momentum_10,0.010233645959745996
close_pct_change,0.008319694648186259
stoch_momentum_k,0.0070589332620753144
rsi_momentum_5,0.007012911737747691
volume_momentum,0.004539003996796435
price_acceleration,0.004491035412348922
bollinger_pct_b,0.0
