id,ema_fast_m15,ema_slow_m15,ema_trend_h1,atr_period,atr_lookback,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct,score
345,15,21,150,14,3,3.0,10000,15512.97,5512.97,55.13,144.82,0.21,0.08,12.22,11.85,153,36.6,1.46,36.03,1386.77,-336.53,0.00075,0.0005,38.24,16.89,11.66241
327,15,21,100,14,3,3.0,10000,14432.33,4432.33,44.32,111.3,0.18,0.07,9.26,12.02,150,36.0,1.37,29.55,1376.62,-332.01,0.00075,0.0005,38.24,6.08,11.424619999999999
363,15,21,200,14,3,3.0,10000,14806.64,4806.64,48.07,122.63,0.19,0.08,9.12,13.45,143,35.66,1.44,33.61,1296.17,-315.41,0.00075,0.0005,38.24,9.83,11.356689999999999
348,15,21,150,14,5,3.0,10000,12383.01,2383.01,23.83,54.63,0.12,0.04,3.42,15.98,139,35.97,1.25,17.14,1280.82,-311.03,0.00075,0.0005,38.24,-14.41,11.322679999999998
351,15,21,150,14,7,3.0,10000,13420.35,3420.35,34.2,82.19,0.16,0.06,5.68,14.48,139,35.25,1.35,24.61,1339.68,-321.94,0.00075,0.0005,38.24,-4.04,11.168919999999998
381,15,26,100,14,3,3.0,10000,15009.77,5009.77,50.1,128.9,0.19,0.07,6.73,19.15,138,34.78,1.44,36.3,1266.99,-385.17,0.00075,0.0005,38.24,11.86,11.09105
330,15,21,100,14,5,3.0,10000,11801.84,1801.84,18.02,40.19,0.1,0.03,2.55,15.78,139,35.25,1.19,12.96,1255.94,-306.85,0.00075,0.0005,38.24,-20.22,11.071259999999999
387,15,26,100,14,7,3.0,10000,12616.83,2616.83,26.17,60.64,0.13,0.04,3.44,17.63,123,34.96,1.28,21.28,1237.48,-337.26,0.00075,0.0005,38.24,-12.07,11.034709999999999
399,15,26,150,14,3,3.0,10000,14702.09,4702.09,47.02,119.43,0.19,0.07,5.68,21.01,136,34.56,1.42,34.57,1282.75,-392.11,0.00075,0.0005,38.24,8.78,11.00903
384,15,26,100,14,5,3.0,10000,12437.89,2437.89,24.38,56.03,0.12,0.04,3.04,18.43,126,34.92,1.25,19.35,1191.03,-335.12,0.00075,0.0005,38.24,-13.86,11.00633
