entry_idx,exit_idx,entry_price,exit_price,stop_loss,exit_reason,pnl_pct,pnl_usd,position_type
556,731,3192.19,3133.9728571428573,3133.9728571428573,SL,-1.9487367718444952,-194.87367718444952,LONG
784,1528,3215.11,3325.524285714286,3325.524285714286,SL,-3.5592304217985093,-348.9870389774246,SHORT
1984,2094,3400.83,3465.107142857143,3465.107142857143,SL,-2.0150428088773387,-190.54525463640525,SHORT
2129,2215,3611.59,3530.907142857143,3530.907142857143,SL,-2.35899824295829,-218.57520034851686,LONG
3441,4148,3724.01,3670.527142857143,3670.527142857143,SL,-1.5611630914755068,-141.23871883489588,LONG
4300,4317,3149.07,3319.7528571428575,3319.7528571428575,SL,-5.5451036224300285,-493.83473548627813,SHORT
4780,4787,3516.53,3468.95,3468.95,SL,-1.4780383645241297,-124.33177983839639,LONG
4959,4962,3397.99,3350.807142857143,3350.807142857143,SL,-1.5135519716908186,-125.43733896860182,LONG
5247,5273,3431.25,3388.207142857143,3388.207142857143,SL,-1.3794366380431904,-112.59204973313294,LONG
6453,6502,3290.42,3252.3885714285716,3252.3885714285716,SL,-1.2808229214333877,-103.100919590426,LONG
6696,7111,3198.15,3253.89,3149.8614285714284,TP,1.6178826040054335,128.5647707208887,LONG
8480,10009,3113.0,2761.31,3195.9342857142856,TP,11.17246225505943,902.1816962599058,SHORT
10326,10370,2753.14,2723.817142857143,2723.817142857143,SL,-1.1900695984532832,-106.83528207830501,LONG
11492,11518,2217.5,2175.048571428571,2175.048571428571,SL,-2.0393823482042395,-180.90125906385776,LONG
12340,12593,1894.78,1866.5714285714287,1866.5714285714287,SL,-1.613751803827954,-140.2268534560323,LONG
12624,12637,1914.4,1885.6971428571426,1885.6971428571426,SL,-1.6243134738224776,-138.866885378702,LONG
13017,13129,1972.77,1997.5357142857142,1997.5357142857142,SL,-1.380377681418221,-116.09527724900332,SHORT
19623,19674,2721.5,2663.6285714285714,2663.6285714285714,SL,-2.2514533739271956,-186.7423916681475,LONG
22627,22680,2440.5,2428.448571428571,2428.448571428571,SL,-0.6188098164896093,-50.1703883241352,LONG
24307,25103,3384.23,3615.97,3281.927142857143,TP,6.722643333934153,541.6696869277374,LONG
25129,25618,3705.54,3752.12,3595.0285714285715,TP,1.1320367611738082,97.34453280279739,LONG
26303,30696,3637.17,4465.94,3560.1042857142857,TP,22.661122177407147,1970.7031061930004,LONG
30735,30748,4497.0,4458.64,4458.64,SL,-0.9780131198576755,-104.32572300710197,LONG
32247,32250,4747.46,4690.694285714286,4690.694285714286,SL,-1.3207070577890965,-139.5034208319446,LONG
